"id"	"parent_id/id"	"parent_persentage"	"name"	"tilt_azimuth_ids/id"	"zip_id/id"
				"tilt_azimuth_545"	
				"tilt_azimuth_546"	
				"tilt_azimuth_547"	
				"tilt_azimuth_548"	
				"tilt_azimuth_549"	
				"tilt_azimuth_550"	
				"tilt_azimuth_551"	
				"tilt_azimuth_552"	
				"tilt_azimuth_553"	
				"tilt_azimuth_554"	
				"tilt_azimuth_555"	
				"tilt_azimuth_556"	
				"tilt_azimuth_557"	
				"tilt_azimuth_558"	
				"tilt_azimuth_559"	
				"tilt_azimuth_560"	
				"tilt_azimuth_561"	
				"tilt_azimuth_562"	
				"tilt_azimuth_563"	
				"tilt_azimuth_564"	
				"tilt_azimuth_565"	
				"tilt_azimuth_566"	
				"tilt_azimuth_567"	
				"tilt_azimuth_568"	
				"tilt_azimuth_569"	
				"tilt_azimuth_570"	
				"tilt_azimuth_571"	
				"tilt_azimuth_572"	
				"tilt_azimuth_573"	
				"tilt_azimuth_574"	
				"tilt_azimuth_575"	
				"tilt_azimuth_576"	
"insolation_incident_yearly_5"			"Sanata Maria"	"tilt_azimuth_577"	
				"tilt_azimuth_578"	
				"tilt_azimuth_579"	
				"tilt_azimuth_580"	
				"tilt_azimuth_581"	
				"tilt_azimuth_582"	
				"tilt_azimuth_583"	
				"tilt_azimuth_584"	
				"tilt_azimuth_585"	
				"tilt_azimuth_586"	
				"tilt_azimuth_587"	
				"tilt_azimuth_588"	
				"tilt_azimuth_589"	
				"tilt_azimuth_590"	
				"tilt_azimuth_591"	
				"tilt_azimuth_592"	
				"tilt_azimuth_593"	
				"tilt_azimuth_594"	
				"tilt_azimuth_595"	
				"tilt_azimuth_596"	
				"tilt_azimuth_597"	
				"tilt_azimuth_598"	
				"tilt_azimuth_599"	
				"tilt_azimuth_600"	
				"tilt_azimuth_601"	
				"tilt_azimuth_602"	
				"tilt_azimuth_603"	
				"tilt_azimuth_604"	
				"tilt_azimuth_605"	
				"tilt_azimuth_606"	
				"tilt_azimuth_607"	
				"tilt_azimuth_608"	
				"tilt_azimuth_609"	
				"tilt_azimuth_610"	
				"tilt_azimuth_611"	
				"tilt_azimuth_612"	
				"tilt_azimuth_613"	
				"tilt_azimuth_614"	
				"tilt_azimuth_615"	
				"tilt_azimuth_616"	
				"tilt_azimuth_617"	
				"tilt_azimuth_618"	
				"tilt_azimuth_619"	
				"tilt_azimuth_620"	
				"tilt_azimuth_621"	
				"tilt_azimuth_622"	
				"tilt_azimuth_623"	
				"tilt_azimuth_624"	
				"tilt_azimuth_625"	
				"tilt_azimuth_626"	
				"tilt_azimuth_627"	
				"tilt_azimuth_628"	
				"tilt_azimuth_629"	
				"tilt_azimuth_630"	
				"tilt_azimuth_631"	
				"tilt_azimuth_632"	
				"tilt_azimuth_633"	
				"tilt_azimuth_634"	
				"tilt_azimuth_635"	
				"tilt_azimuth_636"	
				"tilt_azimuth_637"	
				"tilt_azimuth_638"	
				"tilt_azimuth_639"	
				"tilt_azimuth_640"	
				"tilt_azimuth_641"	
				"tilt_azimuth_642"	
				"tilt_azimuth_643"	
				"tilt_azimuth_644"	
				"tilt_azimuth_645"	
				"tilt_azimuth_646"	
				"tilt_azimuth_647"	
				"tilt_azimuth_648"	
				"tilt_azimuth_649"	
				"tilt_azimuth_650"	
				"tilt_azimuth_651"	
				"tilt_azimuth_652"	
				"tilt_azimuth_653"	
				"tilt_azimuth_654"	
				"tilt_azimuth_655"	
				"tilt_azimuth_656"	
				"tilt_azimuth_657"	
				"tilt_azimuth_658"	
				"tilt_azimuth_659"	
				"tilt_azimuth_660"	
				"tilt_azimuth_661"	
				"tilt_azimuth_662"	
				"tilt_azimuth_663"	
				"tilt_azimuth_664"	
				"tilt_azimuth_665"	
				"tilt_azimuth_666"	
				"tilt_azimuth_667"	
				"tilt_azimuth_668"	
				"tilt_azimuth_669"	
				"tilt_azimuth_670"	
				"tilt_azimuth_671"	
				"tilt_azimuth_672"	
				"tilt_azimuth_673"	
				"tilt_azimuth_674"	
				"tilt_azimuth_675"	
				"tilt_azimuth_676"	
				"tilt_azimuth_677"	
				"tilt_azimuth_678"	
				"tilt_azimuth_679"	
				"tilt_azimuth_680"	
				"tilt_azimuth_681"	
				"tilt_azimuth_682"	
				"tilt_azimuth_683"	
				"tilt_azimuth_684"	
				"tilt_azimuth_685"	
				"tilt_azimuth_686"	
				"tilt_azimuth_687"	
				"tilt_azimuth_688"	
				"tilt_azimuth_689"	
				"tilt_azimuth_690"	
				"tilt_azimuth_691"	
				"tilt_azimuth_692"	
				"tilt_azimuth_693"	
				"tilt_azimuth_694"	
				"tilt_azimuth_695"	
				"tilt_azimuth_696"	
				"tilt_azimuth_697"	
				"tilt_azimuth_698"	
				"tilt_azimuth_699"	
				"tilt_azimuth_700"	
				"tilt_azimuth_701"	
				"tilt_azimuth_702"	
				"tilt_azimuth_703"	
				"tilt_azimuth_704"	
				"tilt_azimuth_705"	
				"tilt_azimuth_706"	
				"tilt_azimuth_707"	
				"tilt_azimuth_708"	
				"tilt_azimuth_709"	
				"tilt_azimuth_710"	
				"tilt_azimuth_711"	
				"tilt_azimuth_712"	
				"tilt_azimuth_713"	
				"tilt_azimuth_714"	
				"tilt_azimuth_715"	
				"tilt_azimuth_716"	
				"tilt_azimuth_717"	
				"tilt_azimuth_718"	
				"tilt_azimuth_719"	
				"tilt_azimuth_720"	
"insolation_incident_yearly_6"			"Bakersfield"	"tilt_azimuth_721"	
				"tilt_azimuth_722"	
				"tilt_azimuth_723"	
				"tilt_azimuth_724"	
				"tilt_azimuth_725"	
				"tilt_azimuth_726"	
				"tilt_azimuth_727"	
				"tilt_azimuth_728"	
				"tilt_azimuth_729"	
				"tilt_azimuth_730"	
				"tilt_azimuth_731"	
				"tilt_azimuth_732"	
				"tilt_azimuth_733"	
				"tilt_azimuth_734"	
				"tilt_azimuth_735"	
				"tilt_azimuth_736"	
				"tilt_azimuth_737"	
